"Preliminary data release date: March 2022
Preliminary data revised release date: May 2022
Final data release date: March 2023",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,region,division,total_cap_ac_x,total_cap_dc_x,total_cap_ac_y,total_cap_dc_y
"Table HC11.1  Household energy insecurity, 2020",,,,,,,,,,,,,
,Number of housing units (million),,,,,,,,,,,,
,,Households reporting…,,,,,,,,,,,
,Total U.S.a,Any household energy insecurityb,Reducing or forgoing food or medicine to pay energy costs,Leaving home at unhealthy temperature,Receiving disconnect or delivery stop notice,Unable to use heating equipmentc,Unable to use air-conditioning equipmentd,,,,,,
All homes,123.53,33.58,24.61,12.2,12.36,4.93,6.35,,,,,,
Census region and division,,,,,,,,,,,,,
Northeast,21.92,5.54,3.82,2.38,1.84,0.79,0.84,Northeast,,4012.35,5244.87,,
New England,5.88,1.36,0.93,0.57,0.42,0.25,0.19,Northeast,New England,4012.35,5244.87,1917.03,2573.19
Middle Atlantic,16.04,4.17,2.89,1.81,1.43,0.54,0.65,Northeast,Middle Atlantic,4012.35,5244.87,2095.32,2671.68
Midwest,27.04,6.58,4.87,2.01,2.8,0.94,1.04,Midwest,,4273.99,5603.29,,
East North Central,18.55,4.78,3.52,1.46,2.01,0.63,0.74,Midwest,East North Central,4273.99,5603.29,2846.23,3694.19
West North Central,8.5,1.8,1.35,0.55,0.79,0.31,0.3,Midwest,West North Central,4273.99,5603.29,1427.76,1909.1
South,46.84,14,10.66,4.65,5.69,2.09,3.11,South,,34053.03,44672.22,,
South Atlantic,24.84,6.58,4.99,2.26,2.68,0.96,1.5,South,South Atlantic,34053.03,44672.22,21566.52,28542.87
East South Central,7.38,2.38,1.85,0.85,0.98,0.38,0.58,South,East South Central,34053.03,44672.22,1447.18,1858.65
West South Central,14.62,5.03,3.83,1.53,2.03,0.74,1.03,South,West South Central,34053.03,44672.22,11039.33,14270.7
West,27.72,7.46,5.25,3.16,2.02,1.12,1.36,West,,27720.71,34833.46,,
Mountain,9.22,2.26,1.65,0.86,0.75,0.39,0.45,West,Mountain,27720.71,34833.46,10567.8,13273.76
Mountain North,4.62,1.01,0.74,0.32,0.38,0.15,0.18,West,Mountain,27720.71,34833.46,10567.8,13273.76
Mountain South,4.6,1.25,0.91,0.54,0.37,0.24,0.28,West,Mountain,27720.71,34833.46,10567.8,13273.76
Pacific,18.51,5.2,3.6,2.3,1.27,0.73,0.9,West,Pacific,27720.71,34833.46,17152.91,21559.7
Census urban/rural classificatione,,,,,,,,,,,,,
Urban,100.44,28.04,20.54,10.27,10.32,3.93,5.31,,,,,,
Urbanized area,89.24,24.86,18.19,9.14,9.04,3.47,4.81,,,,,,
Urban cluster,11.2,3.18,2.35,1.13,1.28,0.45,0.5,,,,,,
Rural,23.09,5.54,4.06,1.93,2.04,1.01,1.03,,,,,,
Climate regionf,,,,,,,,,,,,,
