case_id,p_state,ylat,xlong,p_year,p_cap_ac,p_cap_dc,region,division
401476,AL,34.833813,-87.838258,2016,75.0,100.2,South,East South Central
401865,AL,31.332202,-85.730144,2017,10.6,12.7,South,East South Central
401866,AL,33.626383,-85.939984,2017,7.4,9.7,South,East South Central
402674,AL,34.611222,-86.624293,2017,10.0,12.5,South,East South Central
401807,AL,32.871904,-85.39706,2017,79.2,116.9,South,East South Central
402688,AL,34.951948,-86.866187,2018,15.9,20.0,South,East South Central
403007,AL,34.766082,-87.9202,2021,227.0,294.0,South,East South Central
401345,AL,32.30477,-84.991003,2015,30.0,41.5,South,East South Central
404620,AL,32.202311,-86.325071,2020,100.0,130.0,South,East South Central
404683,AL,31.007337,-86.593864,2020,80.0,80.0,South,East South Central
404922,AZ,33.355906,-112.915082,2022,60.0,60.0,West,Mountain
401622,AZ,33.340897,-112.950747,2016,154.0,210.0,West,Mountain
400125,AZ,33.158993,-111.481623,2011,20.0,23.7,West,Mountain
400201,AZ,34.724115,-112.432264,2012,19.0,21.0,West,Mountain
400401,AZ,34.689322,-112.402614,2011,10.4,11.7,West,Mountain
400374,AZ,35.022825,-114.162449,2012,9.0,10.0,West,Mountain
400437,AZ,33.49817,-112.813276,2013,14.8,19.3,West,Mountain
401075,AZ,32.145812,-110.87957,2013,9.0,12.7,West,Mountain
400148,AZ,32.981357,-113.498003,2014,290.0,398.6,West,Mountain
400857,AZ,31.494163,-111.006063,2014,6.0,7.2,West,Mountain
401479,AZ,32.042663,-110.959069,2016,16.0,21.5,West,Mountain
400939,AZ,32.03087,-110.958585,2014,29.0,35.0,West,Mountain
400845,AZ,32.948588,-112.769774,2014,37.12,51.0,West,Mountain
401069,AZ,33.144218,-112.661591,2015,11.2,15.6,West,Mountain
400128,AZ,33.52506,-112.382458,2015,11.2,15.6,West,Mountain
400203,AZ,33.020959,-112.661797,2011,17.6,22.5,West,Mountain
400289,AZ,34.587837,-113.175721,2011,15.0,16.6,West,Mountain
400416,AZ,33.381248,-113.18452,2012,15.0,16.9,West,Mountain
400552,AZ,32.370827,-111.238244,2012,20.0,25.3,West,Mountain
400226,AZ,32.371832,-111.283242,2013,26.46,26.5,West,Mountain
401076,AZ,32.099647,-110.81571,2012,5.1,6.6,West,Mountain
400250,AZ,33.345446,-112.923848,2012,170.0,235.1,West,Mountain
400349,AZ,32.6395,-114.431353,2013,37.44,52.0,West,Mountain
400240,AZ,33.298671,-112.827225,2013,129.0,174.9,West,Mountain
400014,AZ,34.294474,-109.27154,2014,13.62,16.4,West,Mountain
401214,AZ,33.041452,-111.451962,2015,45.0,57.5,West,Mountain
401311,AZ,34.983955,-114.55634,2015,4.4,5.3,West,Mountain
401688,AZ,33.051117,-111.340769,2016,50.0,62.6,West,Mountain
401726,AZ,32.554828,-111.280849,2017,40.0,57.7,West,Mountain
402236,AZ,35.349159,-113.914259,2018,46.0,64.5,West,Mountain
401295,AZ,32.170516,-110.897011,2014,12.6,16.4,West,Mountain
400758,AZ,32.257451,-110.156832,2015,55.0,75.9,West,Mountain
401664,AZ,32.066676,-109.921281,2016,20.5,23.0,West,Mountain
402067,AZ,32.068285,-109.888694,2017,20.0,24.7,West,Mountain
402528,AZ,32.875696,-111.546455,2018,20.0,30.9,West,Mountain
400290,AZ,32.365016,-112.831304,2011,4.5,5.0,West,Mountain
400199,AZ,35.241588,-114.004585,2011,1.0,1.2,West,Mountain
400156,AZ,32.099521,-110.811275,2010,1.2,1.6,West,Mountain
401609,AZ,32.268153,-110.151375,2016,30.0,37.7,West,Mountain
400323,AZ,33.268352,-111.613368,2012,19.0,25.2,West,Mountain
400507,AZ,33.026566,-113.356482,2013,14.0,21.0,West,Mountain
400595,AZ,33.82314,-112.24089,2012,6.0,7.6,West,Mountain
400757,AZ,32.101847,-110.813116,2014,1.0,1.0,West,Mountain
400330,AZ,32.107057,-110.824225,2011,1.9,2.0,West,Mountain
401621,AZ,33.331271,-112.923389,2016,100.8,136.5,West,Mountain
400202,AZ,33.034607,-112.661625,2011,17.0,21.0,West,Mountain
400193,AZ,32.289889,-111.032982,2010,0.9,1.1,West,Mountain
400204,AZ,33.027149,-113.348204,2012,16.0,39.6,West,Mountain
400274,AZ,32.686077,-114.495993,2015,5.7,5.0,West,Mountain
400334,AZ,32.868853,-111.771846,2011,2.0,2.2,West,Mountain
